sentence_id,original_word,proposed_word,final_word,action,rule,timestamp
3607,cochers,kochers,cochers,REJECT,C_TO_K,2026-02-16T02:24:59.606Z
3653,acorazado,akorazado,akorasado,EDIT,C_TO_K,2026-02-16T02:25:11.162Z
3661,muog,mog,muog,REJECT,UO_TO_O,2026-02-16T02:25:12.417Z
3684,CUSTODIO,KUSTODIO,CUSTODIO,REJECT,C_TO_K,2026-02-16T02:25:16.702Z
3799,predicador,predikador,predikador,APPROVE,C_TO_K,2026-02-16T02:25:19.267Z
3804,predicandas,predikandas,predicandas,REJECT,C_TO_K,2026-02-16T02:25:26.355Z
3804,corporaciones,korporaciones,corporaciones,REJECT,C_TO_K,2026-02-16T02:25:28.830Z
3805,caballero,kaballero,kabalyero,EDIT,C_TO_K,2026-02-16T02:25:35.374Z
3819,Boccacio,Bockacio,Boccacio,REJECT,C_TO_K,2026-02-16T02:25:40.054Z
3856,clinica,clinika,klinika,EDIT,C_TO_K,2026-02-16T02:25:46.683Z
3887,corporacion,korporacion,corporacion,REJECT,C_TO_K,2026-02-16T02:25:48.112Z
3887,Facultad,Fakultad,Facultad,REJECT,C_TO_K,2026-02-16T02:25:56.990Z
3896,capista,kapista,kapista,APPROVE,C_TO_K,2026-02-16T02:26:07.273Z
3911,cuacha,kuacha,kwacha,EDIT,C_TO_K,2026-02-16T02:26:13.955Z
4029,nagmumuog,nagmumog,nagmumuog,REJECT,UO_TO_O,2026-02-16T02:26:15.448Z
4073,bumubuo,bumubo,bumubuo,REJECT,UO_TO_O,2026-02-16T02:26:16.457Z
4096,corruptissima,korruptissima,corruptissima,REJECT,C_TO_K,2026-02-16T02:26:19.875Z
4096,republica,republika,republica,REJECT,C_TO_K,2026-02-16T02:26:21.890Z
4106,qui,ki,qui,REJECT,QU_TO_K,2026-02-16T02:26:23.428Z
4153,corredor,korredor,koryedor,EDIT,C_TO_K,2026-02-16T02:26:54.588Z
4171,mañga,manga,mga,EDIT,NG_TILDE,2026-02-16T02:27:01.634Z
4172,predicador,predikador,predikador,APPROVE,C_TO_K,2026-02-16T02:27:03.559Z
4177,chapdiqui,chapdiki,tsapdiki,EDIT,QU_TO_K,2026-02-16T02:27:15.887Z
4181,carabinero,karabinero,karabinero,APPROVE,C_TO_K,2026-02-16T02:27:17.684Z
4212,coro,koro,koro,APPROVE,C_TO_K,2026-02-16T02:27:20.512Z
4225,buong-buo,bong-bo,buong-buo,REJECT,UO_TO_O,2026-02-16T02:27:21.444Z
4231,cogi,kogi,kogi,APPROVE,C_TO_K,2026-02-16T02:27:24.369Z
4236,conmigo,konmigo,conmigo,REJECT,C_TO_K,2026-02-16T02:27:29.516Z
4238,queda,keda,queda,REJECT,QU_TO_K,2026-02-16T02:27:30.661Z
4238,complice,komplice,complice,REJECT,C_TO_K,2026-02-16T02:27:32.461Z
4239,quema,kema,quema,REJECT,QU_TO_K,2026-02-16T02:27:33.859Z
4239,conmigo,konmigo,conmigo,REJECT,C_TO_K,2026-02-16T02:27:34.821Z
4240,riquisa,rikisa,riquisa,REJECT,QU_TO_K,2026-02-16T02:27:35.651Z
4240,encontra,enkontra,encontra,REJECT,C_TO_K,2026-02-16T02:27:36.132Z
4242,queda,keda,queda,REJECT,QU_TO_K,2026-02-16T02:27:36.759Z
4243,Loco-loco,Loko-loko,Loco-loco,REJECT,C_TO_K,2026-02-16T02:27:41.660Z
4243,aquel,akel,aquel,REJECT,QU_TO_K,2026-02-16T02:27:42.432Z
4243,cogi,kogi,cogi,REJECT,C_TO_K,2026-02-16T02:27:43.160Z
4247,Conmigo,Konmigo,Conmigo,REJECT,C_TO_K,2026-02-16T02:27:43.713Z
4248,cosa,kosa,cosa,REJECT,C_TO_K,2026-02-16T02:27:44.539Z
4250,poco,poko,poco,REJECT,C_TO_K,2026-02-16T02:27:45.590Z
4252,requiem,rekiem,requiem,REJECT,QU_TO_K,2026-02-16T02:27:51.152Z
4338,parroquia,parrokia,parokya,EDIT,QU_TO_K,2026-02-16T02:27:56.185Z
4340,exequias,exekias,exequias,REJECT,QU_TO_K,2026-02-16T02:27:59.846Z
4343,requiem,rekiem,requiem,REJECT,QU_TO_K,2026-02-16T02:28:00.754Z
4344,Corporaciones,Korporaciones,Corporaciones,REJECT,C_TO_K,2026-02-16T02:28:07.631Z
4344,matricula,matrikula,matrikula,APPROVE,C_TO_K,2026-02-16T02:28:11.517Z
4361,acuto,akuto,acuto,REJECT,C_TO_K,2026-02-16T02:28:21.992Z
4364,Cave,Kave,Cave,REJECT,C_TO_K,2026-02-16T02:28:22.941Z
4364,cadas,kadas,cadas,REJECT,C_TO_K,2026-02-16T02:28:23.974Z
4367,peccatum,peckatum,peccatum,REJECT,C_TO_K,2026-02-16T02:28:24.983Z
4372,Quicumque,Quikumque,Quicumque,REJECT,C_TO_K,2026-02-16T02:28:25.830Z
4376,isusuot,isusot,isusuot,REJECT,UO_TO_O,2026-02-16T02:28:27.048Z
4377,isuot,isot,isuot,REJECT,UO_TO_O,2026-02-16T02:28:28.025Z
4379,suotan,sotan,suotan,REJECT,UO_TO_O,2026-02-16T02:28:33.150Z
4382,exequias,exekias,exequias,REJECT,QU_TO_K,2026-02-16T02:28:35.616Z
4384,coro,koro,koro,APPROVE,C_TO_K,2026-02-16T02:28:37.117Z
4385,exequias,exekias,exequias,REJECT,QU_TO_K,2026-02-16T02:28:37.996Z
4405,corporacion,korporacion,korporasyon,EDIT,C_TO_K,2026-02-16T02:28:45.035Z
4435,makabuo,makabo,makabuo,REJECT,UO_TO_O,2026-02-16T02:28:48.127Z
4437,oraculo,orakulo,orakulo,APPROVE,C_TO_K,2026-02-16T02:28:51.537Z
4515,isinuot,isinot,isinuot,REJECT,UO_TO_O,2026-02-16T02:28:52.424Z
4565,predicador,predikador,predikador,APPROVE,C_TO_K,2026-02-16T02:28:53.956Z
4660,correo,korreo,koryo?,EDIT,C_TO_K,2026-02-16T02:29:01.887Z
4664,lacayo,lakayo,lakayo,APPROVE,C_TO_K,2026-02-16T02:29:04.116Z
4666,lacayo,lakayo,lakayo,APPROVE,C_TO_K,2026-02-16T02:29:05.744Z
4670,cuacha,kuacha,kwacha,EDIT,C_TO_K,2026-02-16T02:29:09.419Z
4704,buong-buo,bong-bo,buong-buo,REJECT,UO_TO_O,2026-02-16T02:29:10.417Z
4767,cornalina,kornalina,kornalina,APPROVE,C_TO_K,2026-02-16T02:29:16.971Z
4790,pasalisalimuot,pasalisalimot,pasalisalimuot,REJECT,UO_TO_O,2026-02-16T02:29:21.386Z
4794,mercurio,merkurio,mercurio,REJECT,C_TO_K,2026-02-16T02:29:23.871Z
4802,magmumuog,magmumog,magmumuog,REJECT,UO_TO_O,2026-02-16T02:29:25.030Z
4891,cuadrong,kuadrong,kuadrong,APPROVE,C_TO_K,2026-02-16T02:31:28.116Z
4894,Velazquez,Velazkez,Velazquez,REJECT,QU_TO_K,2026-02-16T02:31:31.950Z
4897,caida,kaida,kaida,APPROVE,C_TO_K,2026-02-16T02:31:36.861Z
4904,cubiertos,kubiertos,kubyertos,EDIT,C_TO_K,2026-02-16T02:31:43.928Z
4915,Chica,Chika,Chica,REJECT,C_TO_K,2026-02-16T02:31:46.514Z
