novel,token,count,suggested_category,chapter_number,sentence_number,context_snippet
noli,mapacali,1,B,20,20-224,"Ito'y nagpapawis, hindi mapacali, hinahaplos ang noo at sa cawacasa'y nasabi ng pautal-utal, na naca..."
noli,kinuscos,1,B,20,20-231,At kinuscos ang mga mata ng camaoo....
noli,Nagcacagugol,1,B,20,20-233,—¿Nagcacagugol ba ang cura sa fiesta o tayo ang nagcacagugol?...
noli,nagcapanahon,1,B,20,20-250,"—Ibig ko sanang sabihin, mga ginoo, ngunit nagsalita si kapitang Basilio'y ¡hindi na ako nagcapanaho..."
noli,iniwasac,1,B,20,20-261,—Inihandog ko sa pagkaamis ang pag-ibig ko sa aking sarili upang magtagumpay lamang ang magandang ca...
noli,tinatacbo,1,B,21,21-2,"Kung nagcacagayo'y anaki'y dumidilim na lahat sa ating paliguid, at sacali't macakita tayo ng isang ..."
noli,nanucol,1,B,21,21-4,"Hindi itinatanong ng mga ina ang gagawing mga paraan, pagka nanucol sa kanilang mga anak...."
noli,Tumatacbong,1,B,21,21-5,"Tumatacbong nagsisikip ang dib-dib, palibhasa'y pinag-uusig ng mga guniguning calaguimlaguim...."
noli,bacuran,1,B,21,21-8,Nang malapit na siya sa kanyang bahay ay kanyang natanawan ang mga capacete ng dalawang sundalong na...
noli,canpangahasan,1,B,21,21-10,Hindi caila sa kanya ang canpangahasan ng mga taong iyong hindi nangagpipitagan kahi't sa lalong may...
noli,nanganacaw,1,B,21,21-10,Hindi caila sa kanya ang canpangahasan ng mga taong iyong hindi nangagpipitagan kahi't sa lalong may...
noli,Nacahinga,1,B,21,21-15,Nacahinga siya at lumacas ang kanyang loob....
noli,pacapupuspusin,1,B,21,21-18,"Kahi't sunuguin ng mga sundalo ang kanyang bahay, huwag lamang piitin nila ang kanyang mga anak, ay ..."
noli,nagcoconowang,1,B,21,21-20,Nang malapit na si Sisa sa mga catacot-tacot na mga taong yao'y nagpalingaplingap sa magcabicabila a...
noli,pumipiyac,1,B,21,21-20,Nang malapit na si Sisa sa mga catacot-tacot na mga taong yao'y nagpalingaplingap sa magcabicabila a...
noli,nangacacaraan,1,B,21,21-21,"Bahagya pa lamang nangacacaraan sa kanyang tabi ay nag-acala siyang tumacbo, ngunit piniguil ang tul..."
noli,nacalalayo,1,B,21,21-22,Hindi pa siya nacalalayo ng malaki ng marinig niyang siya'y kanilang tinatawag ng buong cabangisan....
noli,pinacamatanda'y,1,B,21,21-35,"Naparito kami't ng dacpin ang iyong mga anak; ang pinacamatanda'y nacatanan sa amin, ¿saan mo itinag..."
noli,nacatanan,1,B,21,21-35,"Naparito kami't ng dacpin ang iyong mga anak; ang pinacamatanda'y nacatanan sa amin, ¿saan mo itinag..."
noli,babagabaguin,1,B,21,21-41,"—ang biglang sinabi ng isa sa kanila; ibigay mo sa amin ang salapi, at hindi ka na namin babagabagui..."
noli,madayucdoc,1,B,21,21-44,—ang aking mga anak ay hindi nagnanacaw kahi't madayucdoc; bihasa caming magutom....
noli,halughuguin,1,B,21,21-45,"Hindi nag-uuwi sa akin si Basilio kahi't isang cuarta; halughuguin ninyo ang buong bahay, at kung ka..."
noli,sisicapat,1,B,21,21-45,"Hindi nag-uuwi sa akin si Basilio kahi't isang cuarta; halughuguin ninyo ang buong bahay, at kung ka..."
noli,Caming,1,B,21,21-46,¡Caming mga dukha ay hindi magnanacaw!...
noli,pagsisicapan,1,B,21,21-47,"—Kung gayon—ang ipinagpatuloy ng sundalo ng madalang na pananalita, at kanyang tinititigan ang mga m..."
noli,capaitpaitan,1,B,21,21-58,Tumangis si Sisa ng capaitpaitan....
noli,macatatacbo,1,A,21,21-64,"—ang wica ng isa—sa pagka't buhat dito hanggang sa pumasoc tayo sa bayan ay macatatacbo ka, ikaw ay ..."
noli,macapagpapauna,1,A,21,21-65,"Kung naroroon na tayo, macapagpapauna ka sa amin ng may mga dalawampong hakbang; ngunit ¡mag-ingat k..."
noli,nangacasacay,1,B,21,21-77,"Ginagawa nila ang gayong mga paglalacbay na nagpupulupulutong ng maliliit ang mga lalaki't babae, na..."
noli,nangacabitin,1,B,21,21-77,"Ginagawa nila ang gayong mga paglalacbay na nagpupulupulutong ng maliliit ang mga lalaki't babae, na..."
noli,guiniguiic,1,B,21,21-79,"Ngayo'y ng mangagdaan sila sa kanyang tabi, sa acala niya'y siya'y tinatahac at guiniguiic, at ang k..."
noli,caunatan,1,B,21,21-83,"Kailan ma'y hindi niya naramdaman ang caunatan ng gayong layo, kung di niyon lamang...."
noli,cawayanang,1,B,21,21-84,Sa tabi ng daa'y may isang malagong cawayanang sa lilim niyo'y nagpapahinga siya ng unang panahon....
noli,pangguiguipuspos,1,B,21,21-90,Datapwat ng totoong siya'y mapuspos ng malaking pangguiguipuspos ay ng malapit na siyang dumating sa...
noli,pagrepique,1,B,21,21-100,Nang sandaling iyo'y pagpasimula ang pagrepique ng mga campana't ipina-aalam ang pagkatapos ng misa ...
noli,campana't,1,B,21,21-100,Nang sandaling iyo'y pagpasimula ang pagrepique ng mga campana't ipina-aalam ang pagkatapos ng misa ...
noli,nacatingin,1,B,21,21-106,"Tumiguil ng sandali ang mg tao pagkakita sa kanya, sila-sila'y nangag-uusap at sinusundan siya ng ka..."
noli,cahihiyang,1,B,21,21-107,"Naringig niya ang voces ng isang walang cahihiyang babae, na nasalicuran niya at nagtatanong ng halo..."
noli,nasalicuran,1,B,21,21-107,"Naringig niya ang voces ng isang walang cahihiyang babae, na nasalicuran niya at nagtatanong ng halo..."
noli,Nacaramdam,1,B,21,21-111,Nacaramdam si Sisa ng isang parang tampal: wari'y hinubdan siya ng babaeng iyon sa harap ng caramiha...
noli,nawasac,1,B,21,21-116,"Tulad sa walang pag-iisip na nawasac ang nacapagpapagalaw, biglangbiglang ipinihit niya ang kanyang ..."
noli,nacapagpapagalaw,1,B,21,21-116,"Tulad sa walang pag-iisip na nawasac ang nacapagpapagalaw, biglangbiglang ipinihit niya ang kanyang ..."
noli,nagpapacatal,1,B,21,21-119,"Isang pagtangis na walang luha, walang sigaw, walang hibic, ang siyang sa kanya'y nagpapacatal...."
noli,caagulong,1,B,21,21-121,"Nangagsisipanahi ng canicanilang mga damit ang ibang mga sundalo, samantalang nacahiga sa bangco ang..."
noli,inaaguing,1,B,21,21-121,"Nangagsisipanahi ng canicanilang mga damit ang ibang mga sundalo, samantalang nacahiga sa bangco ang..."
noli,nacatacas,1,B,21,21-122,—¡Tila mandin nacatacas ang mga sisiw!...
noli,piniyacpiyac,1,B,21,21-124,—anang isang babae sa mga sundalong bagong dating; na hindi napagsi siyasat kung ang sabi niya'y dah...
noli,nacauncot,1,B,21,21-130,"Dalawang horas ang itinagal doon ni Sisa, sa isang anyong halos ay hibang, nacauncot sa isang suloc,..."
noli,curipot,1,B,21,21-133,¡iya'y mga caul-ulan lamang ng curipot na fraile!...
noli,magsacdal,1,B,21,21-135,—¡Kung ibig niyang masumpong ang sa kanya'y nawala—ang idinugtong—hingin niya sa kanyang San Antonio...
noli,nuncio,1,B,21,21-135,—¡Kung ibig niyang masumpong ang sa kanya'y nawala—ang idinugtong—hingin niya sa kanyang San Antonio...
noli,nacacucubli,1,B,21,21-139,Nagniningas ang araw sa taluctoc ng langit at walang ano mang alapaap na nacacucubli sa maningning n...
noli,umaacya't,1,B,21,21-147,"Muling tumatawag, umaacya't sa isang mataas na lupa, lumulusong sa isang bangin, nananaog sa ilog; n..."
noli,namimisic,1,B,21,21-147,"Muling tumatawag, umaacya't sa isang mataas na lupa, lumulusong sa isang bangin, nananaog sa ilog; n..."
noli,nacasusunog,1,B,21,21-150,"Datapwa't marahil hindi nakita ni Sisa ang gayong mga bahid, sa pagka't nanaog at ipinagpatuloy ang ..."
noli,pagpapalacadlacad,1,B,21,21-151,"Nagpatuloy rin siya ng pagpapalacadlacad sa magcabicabila, na sumisigaw o umaatungal ng cacaibang tu..."
noli,catatacutan,1,B,21,21-151,"Nagpatuloy rin siya ng pagpapalacadlacad sa magcabicabila, na sumisigaw o umaatungal ng cacaibang tu..."
noli,Pinagcalooban,1,B,21,21-154,"Pinagcalooban siya marahil ng Langit ng ilang horas na pagkakatulog, at samantalang siya'y nahihimbi..."
noli,macatcat,1,A,21,21-154,"Pinagcalooban siya marahil ng Langit ng ilang horas na pagkakatulog, at samantalang siya'y nahihimbi..."
noli,casiyang,1,B,21,21-154,"Pinagcalooban siya marahil ng Langit ng ilang horas na pagkakatulog, at samantalang siya'y nahihimbi..."
noli,macaya,1,A,21,21-154,"Pinagcalooban siya marahil ng Langit ng ilang horas na pagkakatulog, at samantalang siya'y nahihimbi..."
noli,cocinerong,1,B,22,22-7,"Namamasid ng ""cocinerong"" siya'y namamayat ng namamayat, at dumaraing ng di pagpapaunlac sa kanyang ..."
noli,nacapagpapaalab,1,B,22,22-8,Ngunit ang lalong nacapagpapaalab ng mga bulong-bulunga'y ang kanilang namamasdang mahiguit sa dalaw...
noli,Nangagcucruz,1,B,22,22-10,"¡Nangagcucruz ang mga mapagbanal, ngunit ipinatutuloy nila ang pagbubulong-bulungan...."
noli,nacacagunita,1,A,22,22-14,Sino ma'y walang nacacagunita kay Sisa at sa kanyang mga anak....
noli,pihicang,1,B,22,22-16,Lumililim sa bintanang iyon ang mga bulaklak at mga halamang gumagapang sa mga cawayan at sa mga caw...
noli,mahalimuyac,1,B,22,22-17,Bumubulong ang kanilang mga labi ng mga salitang higuit ang cagandahang dingguin kay sa halishisan n...
noli,pagbalican,1,B,22,22-20,; ngunit pagbalican natin ang ating mga kinabataan pakinggan natin ang wacas ng kanilang salitaan....
noli,magbucang,1,B,22,22-22,"—Bucas, bago magbucang liwayway, magaganap ang hangad mo...."
noli,macasunod,1,A,22,22-25,¡Gawin mo ang bagay na ito sa isang parang howag sanang macasunod ang cura!...
noli,Nacasasama,1,B,22,22-28,"Nacasasama sa akin ang kanyang mga matang malalalim at malulungcot, pagka itinititig niya sa akin ay..."
noli,pagkaculang,1,B,22,22-30,"Sinasabi sa akin ng kaibigan kong si Sinang at saka ni Andeng na aking kapatid sa gatas, na siya'y m..."
noli,Catungculang,1,B,22,22-33,—Catungculang atang ito ng caugalian ng bayan; siya'y nasa bahay mo at bucod sa rito'y nag-ugaling m...
noli,macasasama,1,A,22,22-35,Ngunit namamasid kong ikaw ay namumuhi; howag cang manimdim at hindi macasasama siya sa atin sa bang...
noli,nacacahaguip,1,A,22,22-38,"—anya;—pagka nacacahaguip ng isang sipon, ay hindi bumibitiw kung di dumating ang tag-init...."
noli,otoño,1,B,22,22-42,"Ito ang pinaca ""otoño"" at ""primavera"" namin, nanlalaglag ang ilang mga dahon, datapwat laguing sumis..."
noli,pagkakalangcap,1,B,22,22-44,—Ipinalalagay kong carikitdikitan ang pagkakalangcap ng dalawang bahaguing ito ng taong hindi nanggu...
noli,tagguinaw,1,B,22,22-44,—Ipinalalagay kong carikitdikitan ang pagkakalangcap ng dalawang bahaguing ito ng taong hindi nanggu...
noli,Mapanucsong,1,B,22,22-54,"—Mapanucsong totoo ang anyaya at ako'y napahihinuhod, upang sa inyo'y patotohanang hindi po ako nagt..."
noli,Ipagmacaawa,1,B,22,22-68,—¡Ipagmacaawa ko po sa inyo ang aking asawa at ang aking mga anak!...
noli,macatiguil,1,A,22,22-69,"—Hindi ako macatiguil,—ang sagot ni Ibarra...."
noli,nacagagalac,1,B,23,23-1,"Numiningning pa ang mga bituin sa langit ""zafir"", at nangagugulaylay pa ang mga ibon sa mga sanga ng..."
noli,nagcacacapitcapit,1,B,23,23-2,"Sila'y limang mga batang dalagang nangagmamadali ng paglacad, na nagcacacapitcapit o nacayacap kaya ..."
noli,nangagcucurutan,1,B,23,23-4,"Nangagsasalitaan ng buong ligaya, nangagtatawanan, nangagcucurutan, nangag-aanasan at pacatapos nagh..."
noli,naghahalakhacan,1,B,23,23-4,"Nangagsasalitaan ng buong ligaya, nangagtatawanan, nangagcucurutan, nangag-aanasan at pacatapos nagh..."
noli,Guiguisingin,1,B,23,23-5,—¡Guiguisingin ninyo ang taong natutulog pa!...
noli,ipinagwiwica,1,B,23,23-6,—ang ipinagwiwica sa kanila ni tia Isabel;—ng kabataan namin ay hindi kami nagcacaingay ng ganyan....
noli,nagcacaingay,1,B,23,23-6,—ang ipinagwiwica sa kanila ni tia Isabel;—ng kabataan namin ay hindi kami nagcacaingay ng ganyan....
noli,napacamatuluguin,1,B,23,23-7,"—¡Marahil hindi naman kayo gumiguising ng maagang gaya namin, at marahil hindi naman napacamatulugui..."
noli,nangacalilimot,1,B,23,23-9,"Sandaling hindi sila nangagsasalita, pinagpipilitan kaya nilang magsalita ng marahahan; ngunit hindi..."
noli,Conowari,1,B,23,23-10,—Conowari magtampo ka; huwag mo siyang causapin!...
noli,pacahigpit,1,B,23,23-12,—¡Howag mo pacahigpit naman!...
noli,Nangagsisilacad,1,B,23,23-22,Nangagsisilacad silang hindi umiimic na tinutugtugan ng isang guitarra....
noli,nacacapag,1,A,23,23-25,"Nang mag abot na ang dalawang pulutong, ang mga babae ay siyang nag-anyong hindi makibuin at matimti..."
noli,macaanim,1,A,23,23-25,"Nang mag abot na ang dalawang pulutong, ang mga babae ay siyang nag-anyong hindi makibuin at matimti..."
noli,macapagmimisa,1,A,23,23-33,"—Nasasapanahon pa, ginoong babae: si Albinong ng panahon niya'y naging ""seminarista,"" macapagmimisa ..."
noli,clavel,1,B,23,23-37,"Doo'y kanilang nakita ang dalawang bangcang nagcacacabit, na mainam ang pagkakagayac ng mga pinagtuh..."
noli,casuy,1,B,23,23-37,"Doo'y kanilang nakita ang dalawang bangcang nagcacacabit, na mainam ang pagkakagayac ng mga pinagtuh..."
noli,cogin,1,B,23,23-38,"Dinala roon ni Ibarra ang kanyang alfombra, mga maririkit na panabing at mga cogin at ang lahat ng i..."
noli,maguinhawa,1,B,23,23-38,"Dinala roon ni Ibarra ang kanyang alfombra, mga maririkit na panabing at mga cogin at ang lahat ng i..."
noli,Mangagcruz,1,B,23,23-45,—¡Mangagcruz muna kayo!...
noli,caalon,1,B,23,23-52,Lumalayong untiunti ang mga bangca sa pasigan at naaanino ang ilaw ng mga farol sa salamin ng dagata...
noli,nagcacabucod,1,B,23,23-54,"Naghahari ang malaking catahimican; ang mga binata't dalagang nagcacabucod-bucod, ayon sa calooban n..."
noli,pangsicsic,1,B,23,23-56,—ani Albinong seminarista ng sabing malacas sa isang capuwa binata;—yapacan mong magaling ang mga bu...
noli,sicsic,1,B,23,23-70,Yapacan ninyong mabuti ang bunot na sicsic at ng hindi mabunglos....
noli,papanataguin,1,B,23,23-84,Kinailangang lumipat ang ilang bagongtao sa cabilang bangca upang papanataguin ang loob ng mga natat...
noli,pinagcayariang,1,B,23,23-92,"Sa pagka't hindi gumagalaw ng camunti man lamang ang tubig, hindi nalalayo ang mga baclad at saka to..."
noli,casinggaling,1,B,23,23-94,—¡Walang casinggaling ng salabat kung inumin kung umaga bago magsimba!...
noli,sisipaguin,1,B,23,23-95,"—ani capitana Tika na ina ng masayang si Sinang;—uminom po kayo ng salabat na may cahalong puto, Alb..."
noli,cafeng,1,B,23,23-98,"—ani Sinang,—uminom kayo ng cafeng nacapagpapasaya ng calooban...."
noli,nacapagpapasaya,1,B,23,23-98,"—ani Sinang,—uminom kayo ng cafeng nacapagpapasaya ng calooban...."
noli,ganacacaramdam,1,B,23,23-99,"—Ngayon din, sa pagka't ganacacaramdam na ako ng calungcutan...."
noli,nacapagpapatahimic,1,B,23,23-100,—¡Huwag kayong uminom niyan—ang paalaala ni tia Isabel;—uminom kayo ng cha at cumain kayo ng galleta...
noli,macaiinom,1,A,23,23-104,—¿Kung macaiinom naman ako ng chocolate?...
noli,mapacalaon,1,B,23,23-106,Huwag lamang na mapacalaon bago mananghalian.......
noli,nagcacaanino,1,B,23,23-107,"Maganda ang umaga: nagpapasimula na ng pagtinggad ang tubig, at sa liwanag na nanggagaling sa langit..."
noli,nangagagalac,1,B,23,23-108,"Halos nangagagalac ang lahat, sinasanghod nila ang mahinang amihang untiunting napupucaw; sampong an..."
noli,upac,1,B,23,23-111,"Di caguinsaguinsa'y dumarating na dala ng agos ang malilit na bancang upac ng saguing, na may lulang..."
noli,bumabalic,1,B,23,23-113,—¿At kung bumabalic na tayo sa bahay?...
noli,casucasuang,1,B,23,23-120,"Nahuhulog sa kanyang malusog na liig ang kanyang mga buhok na maiitim, mahahaba at hindi inaalagaan;..."
noli,icucot,1,B,23,23-125,Hindi nacapagpapacunot ng alin mang bahagui ng kanyang mukha ang masasayang tawanan at mga biruan ng...
noli,macapagagahan,1,A,23,23-126,"Ipinagpatuloy ang kanilang pagparoon sa mga baclad, pagkatapos na macapagagahan...."
noli,calaway,1,B,23,23-137,"—Hindi raw, po, ginoo, nakikita ang mga pugad ng mga ibong iyan, at taglay naman ang bisa na huwag m..."
noli,aacyat,1,B,23,23-141,"—ani tia Isabel sa anak na lalaki ng matandang talagang aacyat na sanang dala ang panaloc,—kinacaila..."
noli,camias,1,B,23,23-145,"Naghanda ng hugas-bigas, mga camatis at camias, at tinutulungan o inaabala kaya siya ng ilang marahi..."
noli,casinghahaba,1,B,23,23-146,"Linilinis ng mga dalaga ang mga talbos ng calabaza, hinihimay ang mga patani at pinapuputolputol ang..."
noli,Cantahin,1,B,23,23-150,"—¡Cantahin mo, Victoria, ""Ang cancion ng Matrimonio""!..."
noli,cumantang,1,B,23,23-159,"Hindi na siya napapamanhik; tinangnan ang arpa, tumugtog ng isang ""preludio"" o pangunahin at cumanta..."
noli,pumalacpac,1,B,23,23-160,"Natapos ang voces, huminto, napipi ang arpa, at gayon ma'y nagsisipanatili sa pakikinig; sino ma'y w..."
noli,Sackingen,1,B,23,23-170,"—¡Tunay nga, ang trompetero sa Sackingen!..."
noli,cacucurot,1,B,23,23-175,Sa gayo'y nagcaroon nga ng caunting caguluhan; siya'y pinahimpil ng mga ina sa cahahampas ng chinela...
noli,nacahanda,1,B,23,23-185,"Sa cawacasa'y ipinagbigay alam ni Andeng, na nacahanda na ang sabaw upang matanggap ang doo'y ilalag..."
noli,pinagtatalicupan,1,B,23,23-186,"Nanhic, ng magcagayon, ang nagbibinata ng anak ng mangingisda, sa pabahay ng baclad, na na sa dakong..."
noli,Lasciate,1,B,23,23-186,"Nanhic, ng magcagayon, ang nagbibinata ng anak ng mangingisda, sa pabahay ng baclad, na na sa dakong..."
noli,ch'entrate,1,B,23,23-186,"Nanhic, ng magcagayon, ang nagbibinata ng anak ng mangingisda, sa pabahay ng baclad, na na sa dakong..."
noli,culong,1,B,23,23-187,"Yao'y isang culong na may mga isang metro ang luang, na ang pagkakaanyo'y macatitindig ang isang tao..."
noli,macatitindig,1,A,23,23-187,"Yao'y isang culong na may mga isang metro ang luang, na ang pagkakaanyo'y macatitindig ang isang tao..."
noli,mahaguip,1,B,23,23-187,"Yao'y isang culong na may mga isang metro ang luang, na ang pagkakaanyo'y macatitindig ang isang tao..."
noli,naglulucsuhan,1,B,23,23-190,Nangagmamasid ng di cawasa ang lahat: nakikinikinita na ng ibang nangagpapalagan at naglulucsuhan an...
noli,lumulucsong,1,B,23,23-191,"Gayon man, ng isisilid ng binata ang lambat ay walang ano mang lumulucsong isda...."
noli,nacapamuti,1,B,23,23-195,kahi't isang isda man lamang ay walang nacapamuti sa lambat; sa pagkahulog ng masaganang patac ng tu...
noli,casirasira,1,B,23,23-206,Ngunit walang casirasira ang lambat....
noli,macacahuli,1,A,23,23-212,—Kung gayo'y o encantado ang dagatan o macacahuli ako ng kahi't iilan....
noli,panguiguilalas,1,B,23,23-213,Inilubog sa tubig ni Leon ang saloc; datapwat nalarawan sa mukha niya ang panguiguilalas....
noli,nababaluctot,1,B,23,23-225,"Iya'y siya na nagpupumiglas, datapwat siya'y nababaluctot; ¡hintay kayo ...! malaki: may isang dangc..."
noli,calaliman,1,B,23,23-232,Sino ma'y walang humahandog na sumisid sa calaliman....
noli,pinacabatalan,1,B,23,23-239,"Nagtindig ang piloto, cumuha ng isang mahabang lubit at malicsing pumanhik sa pinacabatalan ng bacla..."
noli,Ipinagcaloob,1,B,23,23-240,Ipinagcaloob ni Leong ang piloto'y siyang humalili sa kanyang kinalalagyan....
noli,Magcacasacuna,1,B,23,23-247,—¡Magcacasacuna tayo!...
noli,kinaguiguiliwan,1,B,23,23-253,"—Tinatawag namin siyang si ""Piloto"": sa mga pilotong nakilala ko'y siya ang magaling sa lahat; ang c..."
noli,pinacauban,1,B,23,23-261,"Malaking buaya iyon, na gaya na nga ng ibinalita na ni Leon may mga pinta, at sa ibabaw ng kanyang l..."
noli,nacacagunitang,1,A,23,23-263,Nag-iisa ang piloto sa paghila sa buaya sa itaas: walang nacacagunitang sa kanya'y tumulong....
noli,tinapacan,1,B,23,23-264,"Nang wala na sa tubig at ng mailagay na sa ibabaw ng batalan, tinapacan ng piloto ang buaya ng kanya..."
noli,tinicom,1,B,23,23-264,"Nang wala na sa tubig at ng mailagay na sa ibabaw ng batalan, tinapacan ng piloto ang buaya ng kanya..."
noli,Tinicman,1,B,23,23-265,"Tinicman ng buaya ang huling pagpipiglas, ibinalantoc ang catawa't saka ipinalo sa batalan ang malac..."
noli,ibinalantoc,1,B,23,23-265,"Tinicman ng buaya ang huling pagpipiglas, ibinalantoc ang catawa't saka ipinalo sa batalan ang malac..."
noli,nacaladcad,1,B,23,23-265,"Tinicman ng buaya ang huling pagpipiglas, ibinalantoc ang catawa't saka ipinalo sa batalan ang malac..."
noli,nagpapasuco,1,B,23,23-265,"Tinicman ng buaya ang huling pagpipiglas, ibinalantoc ang catawa't saka ipinalo sa batalan ang malac..."
noli,nagcapanahong,1,B,23,23-267,Matuling tulad sa lintic ay biglang nahulog sa tubig ang isang katawan; bahagya na sila nagcapanahon...
noli,guloc,1,B,23,23-270,"Lumucso sa malalim na tubigang binatang mangingisda na hawac ang kanyang guloc, sumunod sa kanya ang..."
noli,nacasisisid,1,B,23,23-270,"Lumucso sa malalim na tubigang binatang mangingisda na hawac ang kanyang guloc, sumunod sa kanya ang..."
noli,sumulac,1,B,23,23-274,Nalimutan ni Andeng na macaatlo ng sumulac ang kanyang sinigang: nabubo ang lahat ng sabaw at namata...
noli,tutucsuhin,1,B,23,23-280,"—Totoong masulong po kayo sa panganib,—ang sa kanya'y isinagot ni Ibarra;—uli-uli huwag po ninyong t..."
noli,nacasama,1,B,23,23-292,Kailan ma'y hindi ko makitang siya'y nacasama ng lubhang maraming mga buayang malimit na pasasimbaha...
noli,afinacion,1,B,23,23-296,"Muling tumunog ang musica: tumutugtog si Iday ng arpa, at ang mga lalaki nama'y mga acordeon at mga ..."
noli,kinacamot,1,B,23,23-296,"Muling tumunog ang musica: tumutugtog si Iday ng arpa, at ang mga lalaki nama'y mga acordeon at mga ..."
noli,caguinsaguisa'y,1,B,23,23-296,"Muling tumunog ang musica: tumutugtog si Iday ng arpa, at ang mga lalaki nama'y mga acordeon at mga ..."
noli,cailanis,1,B,23,23-297,Pinaroonan ang cabilang baclad na may malaking pag-aalinlangan; marami ang umaasang naroroon doon an...
noli,escabeche,1,B,23,23-299,"¡Mabuting isigang ang ""ayungin""; pabayaan ninyo ang ""biya"" at ng magawang ""escabeche"", ipasa ninyo a..."
noli,cawali,1,B,23,23-301,"¡Ilagay ninyo ang mga ""sugpo"" sa cawali!..."
noli,banac,1,B,23,23-302,"Ucol na iihaw ang ""banac"" na may camatis sa tiyan, at nacabalot sa dahon ng saguing...."
noli,calamanlaman,1,B,23,23-304,"Hindi magaling na pabayaang ang walang calamanlaman ang baclad,—ang idinugtong...."
noli,cutya,1,B,23,23-307,Umaalingawngaw sa alang-alang ang musica; napaimbulog ng buong casayahan ang usoc ng mga calang ang ...
noli,wacwac,1,B,23,23-307,Umaalingawngaw sa alang-alang ang musica; napaimbulog ng buong casayahan ang usoc ng mga calang ang ...
noli,nacahahabag,1,B,24,24-7,Tunay nga namang nacahahabag tingnan si pari Salvi....
noli,Cebu,1,B,24,24-8,"Hindi man lamang sinalang ang pangalawang taza ng chocolate, hindi tinicman man lamang ang mga hojal..."
noli,nacapamamanglaw,1,B,24,24-9,"Hiningi, sa cawacasan, ang kanyang ""coche"", nag-ayos at saka nag-utos na siya'y ihatid sa gubat na k..."
noli,nangagcacatuwa,1,B,24,24-9,"Hiningi, sa cawacasan, ang kanyang ""coche"", nag-ayos at saka nag-utos na siya'y ihatid sa gubat na k..."
noli,malacucong,1,B,24,24-11,Isang mapanglaw na landas na bahagya na nabucsan sa casucalan ang pinagdaraanang patungo sa isang ba...
noli,nagcacasabitsabit,1,B,24,24-13,"Ang tunog ng pagaspas ng mga maliliit na mga hayop na ito, ang irit ng yayay na nag-iingay sa araw a..."
noli,nacayayayat,1,B,24,24-20,"—¡Mag-ingat ka, sa pagka't nacayayayat at nacapagpapalalim ng mga mata ang panibugho!..."
noli,nacapagpapalalim,1,B,24,24-20,"—¡Mag-ingat ka, sa pagka't nacayayayat at nacapagpapalalim ng mga mata ang panibugho!..."
noli,magcacailangang,1,B,24,24-27,"Ang lalong magaling, kung macacasumpong tayo ng pugad, ay ating ""iregalo"" sa cura, at sa gayo'y kany..."
noli,Nacapagpahakhak,1,B,24,24-32,Nacapagpahakhak ng masaya ang gayong alaala sa pagkacolegiala....
noli,pagkacolegiala,1,B,24,24-32,Nacapagpahakhak ng masaya ang gayong alaala sa pagkacolegiala....
noli,Nacalugay,1,B,24,24-36,"Nacalugay ang kanilang buhok at hubad ang kanilang mga bisig, at natatacpan ang katawan ng isang bar..."
noli,Acteon,1,B,24,24-38,Pinanonood ng fraileng Acteon na namumutla at hindi cumikilos ang mahinhing Dianang iyon; ang mga ma...
noli,nagpapapanaguinip,1,B,24,24-38,Pinanonood ng fraileng Acteon na namumutla at hindi cumikilos ang mahinhing Dianang iyon; ang mga ma...
noli,masucal,1,B,24,24-39,"Sa licod ng isang pag-lico sa ilat, sa gitna ng masucal na cawayanan; nangawala ang mga matitimyas n..."
noli,parungguit,1,B,24,24-39,"Sa licod ng isang pag-lico sa ilat, sa gitna ng masucal na cawayanan; nangawala ang mga matitimyas n..."
noli,pagkakabacod,1,B,24,24-42,"Nakita niya sa malayo-layo roon, sa gitna ng batis, ang isang wari'y paliguang magaling ang pagkakab..."
noli,pinacabubong,1,B,24,24-42,"Nakita niya sa malayo-layo roon, sa gitna ng batis, ang isang wari'y paliguang magaling ang pagkakab..."
noli,Nacatanaw,1,B,24,24-44,Nacatanaw naman siya sa daco pa roon ng isang tulay na cawayan at sa dakong malayo'y mga lalaking na...
noli,haligui'y,1,B,24,24-45,"At doon sa cabilang ibayo, sa isang calinisang kanilang hinawan, sa loob ng lilim ng isang palapalan..."
noli,bahagui'y,1,B,24,24-45,"At doon sa cabilang ibayo, sa isang calinisang kanilang hinawan, sa loob ng lilim ng isang palapalan..."
noli,Nangagbubucas,1,B,24,24-55,"Nangagbubucas ng mga botella ng limonada, nangagbibiyac ng mga niyog na mura at ng ang mga natatapos..."
noli,nangagbibiyac,1,B,24,24-55,"Nangagbubucas ng mga botella ng limonada, nangagbibiyac ng mga niyog na mura at ng ang mga natatapos..."
noli,nacalugay,1,B,24,24-55,"Nangagbubucas ng mga botella ng limonada, nangagbibiyac ng mga niyog na mura at ng ang mga natatapos..."
noli,pamumucadcad,1,B,24,24-59,"Sa cawacasa'y lumabas si Maria Clara sa paliguan, kasama ang kanyang mga caibigang babae, sariwang t..."
noli,naucol,1,B,24,24-60,"Inihandog niya ang unang ngiti kay Crisostomo, at naucol ang unang pagdidilim ng kanyang noo kay par..."
noli,coadjator,1,B,24,24-63,"Nangagsiupo sa mesang pinangunguluhan ni Ibarra, ang cura, ang coadjator, ang alferez, ang gobernado..."
