novel,token,count,suggested_category,chapter_number,sentence_number,context_snippet
noli,nacacaakit,2,A,8,8-51,Pabayaan nating maglacbay ang binatang nagdidilidili o nacacatulog: ang hiwagang malungcot o masaya ...
noli,panyapac,2,B,8,8-51,Pabayaan nating maglacbay ang binatang nagdidilidili o nacacatulog: ang hiwagang malungcot o masaya ...
noli,pumipiguil,2,B,8,8-51,Pabayaan nating maglacbay ang binatang nagdidilidili o nacacatulog: ang hiwagang malungcot o masaya ...
noli,catuturan,2,B,8,8-51,Pabayaan nating maglacbay ang binatang nagdidilidili o nacacatulog: ang hiwagang malungcot o masaya ...
noli,mataric,2,B,8,8-52,"Bumalic tayo sa Maynila samantalang gumugulong ang coche't nagpapaguiray-guiray, tulad sa isang lasi..."
noli,tinahac,2,B,9,9-18,"Hindi niya pinansin ang masarap na amoy-chocolate, at gayon ding di niya inino ingay ng mga cajon at..."
noli,nacacunot,2,B,9,9-24,"Nanglalalalim ang mga matang napuputungan ng lubhang malalagong kilay, na palibhasa'y laguing nacacu..."
noli,cumusta,2,B,9,9-41,"At ikaw, ¿cumusta ka?..."
noli,iibiguing,2,B,9,9-54,"—Bucod sa rito—ang idinugtong na pangwacas—mag-aasawa ang binata sa anak na babae ni Kapitang Tiago,..."
noli,hacienda,2,B,9,9-78,"Mananatili rin sa atin ang ating mga ""hacienda,"" ang ating mga bahay!..."
noli,cometa,2,B,9,9-98,Nang nakikipagsalitaan siya sa kanyang mga ayudante tungkol sa mga pagbangguit na sa kanya'y ginagaw...
noli,pakikipagcagalit,2,B,9,9-98,Nang nakikipagsalitaan siya sa kanyang mga ayudante tungkol sa mga pagbangguit na sa kanya'y ginagaw...
noli,Pagsicapan,2,B,9,9-115,"¡Pagsicapan mong howag ka nang gumawa ng mga cahalingan, at manalig ka sa kanyang inaama!..."
noli,macaalawa,2,A,9,9-116,Lumibot ng macaalawa o macaatlo sa salas si Kapitang Tiagong nag-iisip-isip at nagbubuntong hininga;...
noli,umaacyat,2,B,10,10-3,"Pagka araw na mabuting panahon at umaacyat ang mga bata sa caitaasan ng campanario ng simbahan, na n..."
noli,caitaasan,2,B,10,10-3,"Pagka araw na mabuting panahon at umaacyat ang mga bata sa caitaasan ng campanario ng simbahan, na n..."
noli,natacot,2,B,10,10-7,"May natatanaw sa dakong malayong isang maliit na bahay, na itinayo sa pangpang na hindi natacot sa c..."
noli,nacahihicayat,2,B,10,10-9,Ngunit ang lalong nacahihicayat ng pagmamasid ay ang isang matatawag nating naiimos na gubat sa daga...
noli,terciopelong,2,B,10,10-10,"Diya'y may mga catandatandaang mga kahoy, na guang ang katawan, at kaya lamang namamatay ay pagka ti..."
noli,cabuti,2,B,10,10-11,"Malayang lumalago ang mga cacahuyan: mga damo, mga dawag, mga tabing na damong gumagapang na nangags..."
noli,encantado,2,B,10,10-17,"Pinananaligan na ng taong siya'y ""encantado"", ng maino ng mga pastol ang isang caangutang nagbubuhat..."
noli,cagulangan,2,B,10,10-25,"Nang may cagulangan na'y nag-asawa sa isang batang dalagang taga Maynila, at dito'y naging anak niya..."
noli,macalabas,2,A,10,10-29,"—kanilang ipinagtatapunan ang mga bungang kahoy at ang mga panghampas, lumulucso sila sa mga kahoy a..."
noli,nacapangyari,2,B,11,11-4,"Kailan ma'y hindi nacapangyari si Don Rafael ng nabubuhay pa siya, baga man siya ang lalong mayaman ..."
noli,cainaman,2,B,11,11-8,Inilalatag sa kanyang mesa ang lalong magagaling na bungang kahoy; kung nangacacahuli sa pangangaso ...
noli,cofradia,2,B,11,11-26,", bagay na totoong ipinamamanglaw ng kanyang capangagaw na cofradia ng Santisimo Rosario...."
noli,macatagal,2,A,11,11-28,"Nacatipon ang sacristan mayor ng isang mabutibuti ng puhunan, sa pagbibili o sa pagpapalimos, sa pag..."
noli,sacasacali't,2,B,11,11-28,"Nacatipon ang sacristan mayor ng isang mabutibuti ng puhunan, sa pagbibili o sa pagpapalimos, sa pag..."
noli,cumacanta,2,B,11,11-30,"Sa ganitong gawa'y natutulad siya kay Neron na ayaw magpaalis kanino man, samantalang cumacanta sa t..."
noli,mapaghihinanactan,2,B,11,11-32,Sa bagay na ito'y hindi siya mapaghihinanactan: lubos ang kanyang paniniwalang sa pamamalo lamang pi...
noli,iguinapos,2,B,11,11-36,"Siya lamang ang tangi, sa pagka't sinasabi ng mga babae na tumatacas daw sa cura ang diablo, dahilan..."
noli,makipagcagalit,2,B,11,11-37,"Yaya mang gayo'y ang taong pagkatapos ng ganitong nangyari, makipagcagalit pa sa kay pari Salvi ay m..."
noli,colorete,2,B,11,11-38,"Doña Consolacion kung tawaguin ang kanyang ginoong asawa, na isang matandang filipina, na nagpapahid..."
noli,jicarang,2,B,11,11-47,"¿Tinawag ang alila't sinabing: ""Fulanito, gumawa ka ng isang ""jicarang"" chocolate; ¿eh?..."
noli,nacasalacot,2,B,11,11-60,"Sinasabi ni Doña Consolaciong di umano'y kanyang nakita ang cura, na nacabarong pinya at nacasalacot..."
noli,humihilic,2,B,11,11-66,"Pagka, itinutulog ng kanyang asawa ang calasingan o humihilic kung tanghali, hindi maaway ni Doña Co..."
noli,aacalang,2,B,12,12-8,Ang lalong pinacamagaling mag-isip ay nangag-aacalang sinasanag pa ang kanilang mga nuno sa tuhod sa...
noli,calahati'y,2,B,12,12-12,"Isang pintuang kahoy, at isang bacod na ang calahati'y bato at ang calahati'y cawayan ang tila mandi..."
noli,natitiric,2,B,12,12-13,Sa gitna ng maluang na bacurang iyon may nacatayong isang malaking cruz na kahoy na natitiric sa pat...
noli,pandacaki,2,B,12,12-18,Sumisibol doo't lumalago ng mainam ang tarambulo't pandacaki; ang tarumbulo'y ng tunduin ang mga bin...
noli,nacacakilala,2,A,12,12-19,"Gayon ma'y nasasabugan ang lupa ng ilang maliit na mga bulaklak, na gaya rin naman ng mga bungong iy..."
noli,hucayin,2,B,12,12-43,¡Ipinag-utos sa aking hucayin ko!...
noli,Humalakhac,2,B,12,12-60,Humalakhac ang maglilibing ng kanyang makitang samantalang umaalis ay nagcucruz....
noli,hinuhucay,2,B,12,12-79,—¡Katulad ka ng baunang iyong hinuhucay!...
noli,Cumuha,2,B,12,12-91,"Cumuha sa kanyang salacot ng hicho, ngumanga at pinagmasidmasid na may anyong tanga ang mga nangyaya..."
